id,title,company,location,description,required_skills,duration,applyBy,type,salary
19,Cloud Computing Intern,CloudNet,Ahmedabad,"Work on cloud deployments and infrastructure.","AWS, Docker, Kubernetes",6 Months,Apr 01 2025,Hybrid,₹26000/month
20,Event Management Intern,Eventify,Jaipur,"Coordinate corporate and college events.","Communication, Planning, Coordination",3 Months,Apr 05 2025,Full-time,₹15000/month
21,Public Relations Intern,MediaLink,Kolkata,"Handle media communication and outreach.","PR, Communication, Networking",4 Months,Apr 10 2025,Hybrid,₹16000/month
22,Android Developer Intern,MobileTech,Mumbai,"Build Android mobile apps.","Kotlin, Firebase, Android Studio",5 Months,Apr 15 2025,Remote,₹22000/month
23,Customer Support Intern,HelpDesk,Bangalore,"Assist customers and resolve issues.","Communication, CRM, Problem Solving",3 Months,Apr 18 2025,Full-time,₹14000/month
24,Blockchain Intern,CryptoVerse,Pune,"Develop blockchain smart contracts.","Solidity, Ethereum, Web3",6 Months,Apr 20 2025,Remote,₹30000/month
25,Research Intern,ThinkTank,Delhi,"Conduct academic and market research.","Research, Analysis, Writing",4 Months,Apr 25 2025,Part-time,₹15000/month
26,Video Editing Intern,VisualCraft,Noida,"Edit reels and marketing videos.","Premiere Pro, After Effects, Creativity",3 Months,May 01 2025,Hybrid,₹17000/month
27,Data Science Intern,Insight AI,Gurgaon,"Analyze business datasets.","Python, Pandas, SQL",5 Months,May 05 2025,Full-time,₹24000/month
28,Legal Intern,LawBridge,Hyderabad,"Assist legal teams with documentation.","Legal Research, Drafting, Communication",4 Months,May 08 2025,Part-time,₹18000/month
29,Game Development Intern,PixelPlay,Chennai,"Develop Unity-based games.","Unity, C#, Blender",6 Months,May 10 2025,Remote,₹25000/month
30,Social Media Intern,TrendBuzz,Ahmedabad,"Create and manage social content.","Instagram, Canva, Creativity",3 Months,May 12 2025,Hybrid,₹13000/month
31,Supply Chain Intern,MoveFast,Kolkata,"Assist in supply chain optimization.","Excel, Logistics, Communication",4 Months,May 15 2025,Full-time,₹17000/month
32,Frontend Developer Intern,UIFlow,Mumbai,"Create responsive websites.","React, CSS, APIs",4 Months,May 18 2025,Remote,₹21000/month
33,Teacher Assistant Intern,EduSpark,Bangalore,"Support online teaching activities.","Teaching, Communication, MS Office",3 Months,May 20 2025,Part-time,₹12000/month
34,Cybersecurity Intern,CyberSafe,Pune,"Monitor enterprise security systems.","Ethical Hacking, Networking, Python",6 Months,May 22 2025,Hybrid,₹26000/month
35,Recruitment Intern,TalentBridge,Delhi,"Source and screen candidates.","HR, Communication, LinkedIn",4 Months,May 25 2025,Full-time,₹15000/month
36,Photography Intern,LensCraft,Noida,"Capture and edit brand photos.","Photography, Lightroom, Creativity",3 Months,Jun 01 2025,Part-time,₹14000/month
37,Software Testing Intern,TestPro,Gurgaon,"Perform software QA testing.","Selenium, Java, Testing",5 Months,Jun 05 2025,Hybrid,₹20000/month
38,NGO Intern,HelpingHands,Jaipur,"Assist social welfare initiatives.","Communication, Teamwork, Outreach",3 Months,Jun 08 2025,Full-time,₹10000/month
39,Machine Learning Intern,SmartAI,Hyderabad,"Develop predictive AI models.","Python, TensorFlow, ML",6 Months,Jun 10 2025,Remote,₹29000/month
40,Fashion Design Intern,StyleHub,Chennai,"Assist in clothing and fashion design.","Fashion Design, Sketching, Creativity",4 Months,Jun 12 2025,Part-time,₹16000/month
